"filename", "language", "HTML (Twig)", "comment", "blank", "total"
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\include\_navbargame.html.twig", "HTML (Twig)", 50, 15, 3, 68
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\include\_questions.html.twig", "HTML (Twig)", 30, 0, 3, 33
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\include\_search_form.html.twig", "HTML (Twig)", 8, 0, 3, 11
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\layout\full-page.html.twig", "HTML (Twig)", 4, 0, 2, 6
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\layout\main-center.html.twig", "HTML (Twig)", 4, 0, 2, 6
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\legal_notices\index.html.twig", "HTML (Twig)", 32, 0, 3, 35
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\login\index.html.twig", "HTML (Twig)", 33, 0, 4, 37
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\questions\index.html.twig", "HTML (Twig)", 6, 0, 3, 9
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\registration\register.html.twig", "HTML (Twig)", 25, 0, 7, 32
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\score\index.html.twig", "HTML (Twig)", 12, 0, 5, 17
"d:\Documents\WILDCODE\projet-3\2022-03-php-remote-1283-montbeliard-cite-libre\templates\summary\index.html.twig", "HTML (Twig)", 18, 0, 6, 24
"Total", "-", 1623, 29, 245, 1897
